name,noise,preprocessing,recording,transfering,video_building,Inference,wer,nb word,cer,nb character,groundtruth,prediction
adrien,0,mediapipe,2.6999359130859375,0.0668182373046875,0.03328227996826172,2.30098295211792,1.0,5,0.8571428571428571,25,ITS RAINING CATS AND DOGS,IT'S GREETING AGAINST THE THOUGHTS
adrien,0,mediapipe,2.5665979385375977,0.03338885307312012,0.03329658508300781,1.3677222728729248,0.4,5,0.18181818181818182,26,I EAT CHICKEN THIS MORNING,CHICKEN THIS MORNING
adrien,0,mediapipe,2.7666285037994385,0.03337240219116211,0.033356666564941406,1.5675795078277588,0.3333333333333333,6,0.2692307692307692,31,EVERY CLOUD HAS A SILVER LINING,EVERY CLOUD CLOUD IS SILVER LINING
adrien,0,mediapipe,3.133221387863159,0.03354287147521973,0.03325295448303223,1.8675575256347656,1.0,7,0.5833333333333334,42,DONT COUNT YOUR CHICKENS BEFORE THEY HATCH,NOT COUNT SO SHE COULDN'T BE FIRST CASH
adrien,0,mediapipe,2.299861192703247,0.03342151641845703,0.03331327438354492,1.3009941577911377,0.8,5,0.38461538461538464,17,IT IS A SUNNY DAY,THIS SUNDAY DAY
adrien,0,mediapipe,2.633310079574585,0.033537864685058594,0.03330826759338379,1.5008163452148438,0.8333333333333334,6,0.7083333333333334,29,SLOW AND STEADY WINS THE RACE,IT COSTS TO DECREASE THE RATES
adrien,0,mediapipe,4.199894428253174,0.03336501121520996,0.03337216377258301,2.4344284534454346,1.0,11,0.8461538461538461,49,DO UNTO OTHERS AS YOU WOULD HAVE THEM DO UNTO YOU,SO THOSE WORDS ARE AS SOON AS THEY HAVE SOMETHING TO LOOK TO YOU
adrien,0,mediapipe,4.666586637496948,0.03337550163269043,0.0335233211517334,2.8007118701934814,0.9090909090909091,11,0.9393939393939394,43,A BIRD IN THE HAND IS WORTH TWO IN THE BUSH,YOUR PARTNER EATS HER HAND EATS WATER OR EATS HER MOTHER
adrien,0,mediapipe,2.166609764099121,0.03354930877685547,0.033478736877441406,1.300663709640503,0.75,4,0.3333333333333333,15,NO PAIN NO GAIN,TO PAY TO GAIN
adrien,0,mediapipe,2.4332969188690186,0.03336834907531738,0.033349037170410156,1.3676464557647705,0.6,5,0.36363636363636365,26,MY BROTHER PLAY VIDEO GAME,MY BOYS ARE PLAYING VIDEO GAME
adrien,0,mediapipe,3.533282995223999,0.03342556953430176,0.03331255912780762,1.9008665084838867,1.0,6,0.7368421052631579,24,HIT THE NAIL ON THE HEAD,SO THEY ARE NOT SORRY
adrien,0,mediapipe,3.0999696254730225,0.033423662185668945,0.03333401679992676,1.901151418685913,1.2,5,0.7407407407407407,31,ACTIONS SPEAK LOUDER THAN WORDS,IT'S NOT JUST BECAUSE IT WORKS
adrien,0,mediapipe,2.499981164932251,0.03339982032775879,0.033360958099365234,1.6674995422363281,1.1666666666666667,6,0.9090909090909091,27,THE DEVIL IS IN THE DETAILS,THERE'S NOTHING LIKE A SISTER THAT HAS
adrien,0,mediapipe,2.233295440673828,0.03343820571899414,0.03334784507751465,1.134171962738037,1.0,3,0.6666666666666666,14,LIVE AND LEARN,HAVE A CLIENT
adrien,0,mediapipe,2.7999703884124756,0.033522605895996094,0.06660032272338867,1.5677368640899658,1.0,4,0.3684210526315789,22,BETTER LATE THAN NEVER,BIT HER LEGS AND NEVER
adrien,0,mediapipe,3.3666021823883057,0.03351449966430664,0.03331732749938965,1.8007988929748535,1.0,7,0.7857142857142857,34,GOOD THINGS COME TO THOSE WHO WAIT,CAUSE IT DOESN'T COME TOO USEFUL RIGHT
adrien,0,mediapipe,4.099876165390015,0.033345937728881836,0.03331494331359863,2.401029348373413,1.25,8,0.896551724137931,36,IT AINT OVER TILL THE FAT LADY SINGS,THE IRON OF COLOR STILLS ARE FINER THAN THE SIX
adrien,0,mediapipe,2.7998971939086914,0.03349137306213379,0.03336930274963379,1.7010042667388916,0.8571428571428571,7,0.6363636363636364,28,HES A CHIP OFF THE OLD BLOCK,IT'S CHEAP AFTER A LONG BLOCK
adrien,0,mediapipe,2.7999558448791504,0.03343987464904785,0.03329300880432129,1.601085901260376,0.125,8,0.037037037037037035,34,YOU CANT JUDGE A BOOK BY ITS COVER,YOU CAN JUDGE A BOOK BY ITS COVER
adrien,0,mediapipe,2.2333195209503174,0.033509016036987305,0.03321981430053711,1.200892448425293,0.75,4,0.47058823529411764,20,LOOK BEFORE YOU LEAP,BEFORE YOUR LIPS
adrien,0,mediapipe,2.383181095123291,0.016664505004882812,0.03353714942932129,1.3007917404174805,0.2,5,0.06666666666666667,19,ITS A PIECE OF CAKE,IT'S A PIECE OF CAKE
adrien,0,mediapipe,2.733259677886963,0.03341794013977051,0.03334450721740723,1.5346119403839111,2.0,3,1.25,18,IGNORANCE IS BLISS,IN YOUR CONSTANTS TO THESE PLACES
adrien,0,mediapipe,3.666482448577881,0.033376216888427734,0.033345699310302734,2.1008875370025635,0.4444444444444444,9,0.24242424242424243,41,WELL CROSS THAT BRIDGE WHEN WE COME TO IT,WE ARE CROSSING THE BRIDGE WHEN WE COME TO IT
adrien,0,mediapipe,3.2666308879852295,0.03333568572998047,0.033414363861083984,1.8342349529266357,0.3333333333333333,6,0.037037037037037035,32,TIME FLIES WHEN YOURE HAVING FUN,TIME FLIES WHEN YOU ARE HAVING FUN
adrien,0,mediapipe,2.2666614055633545,0.03340625762939453,0.033360958099365234,1.367628574371338,1.0,5,0.7058823529411765,21,THE COW EAT THE GRASS,TO GO INTO CHRIST
adrien,0,mediapipe,2.766664743423462,0.03332376480102539,0.03337907791137695,1.5009939670562744,0.6666666666666666,6,0.55,25,HE HAS BIGGER FISH TO FRY,HE HAS BEEN OFFICIAL FOR A
adrien,0,mediapipe,2.4666213989257812,0.03336906433105469,0.03333711624145508,1.2676501274108887,0.4,5,0.15789473684210525,23,I WORK WITH SMALL ROBOT,I WORK WITH SMART ROBOTS
adrien,0,mediapipe,3.733182668685913,0.03340578079223633,0.0333247184753418,2.4680771827697754,0.7,10,0.40425531914893614,56,THE ROBOT CANT MAKE AN OMELET WITHOUT BREAKING SOME EGGS,JUST REMEMBER TO KIND OF MAKE A COMMENT WITHOUT BREAKING SOME EGGS
adrien,0,mediapipe,2.93338680267334,0.03349637985229492,0.03328680992126465,1.7009289264678955,1.0,7,0.782608695652174,29,YOUR GUESS IS AS GOOD AS MINE,OKAY SO THAT'S MY
adrien,0,mediapipe,3.2999658584594727,0.03352832794189453,0.03322196006774902,1.9008781909942627,0.0,7,0.0,35,A PICTURE IS WORTH A THOUSAND WORDS,A PICTURE IS WORTH A THOUSAND WORDS
chen,0,mediapipe,3.7332401275634766,0.03339886665344238,0.03340625762939453,1.900843858718872,0.6666666666666666,3,0.08333333333333333,14,I AM EXHAUSTED,I'M EXHAUSTED
chen,0,mediapipe,4.999812126159668,0.03348517417907715,0.03342843055725098,2.3341684341430664,0.6666666666666666,6,0.48148148148148145,32,THE WEATHER IS GOOD AS YESTERDAY,OTHERWISE IT IS TOO NICE YESTERDAY
chen,0,mediapipe,5.299935340881348,0.033339738845825195,0.03341388702392578,2.4676151275634766,1.2,5,0.6666666666666666,25,ITS RAINING CATS AND DOGS,IT IS WRITTEN AS A COST
chen,0,mediapipe,4.86651086807251,0.03342127799987793,0.03329110145568848,2.6009256839752197,0.6,5,0.5652173913043478,27,DANIEL IS A GOOD SUPERVISOR,YA IT'S A GOOD INSPIRATION
chen,0,mediapipe,5.499987840652466,0.033416748046875,0.03327608108520508,2.6687190532684326,1.0,6,0.7692307692307693,31,EVERY CLOUD HAS A SILVER LINING,I RECALL THE LAST ISSUE RELATED
chen,0,mediapipe,4.866580009460449,0.0334477424621582,0.03324246406555176,2.5010316371917725,0.42857142857142855,7,0.19444444444444445,42,DONT COUNT YOUR CHICKENS BEFORE THEY HATCH,DON'T CUT YOUR CHICKENS BEFORE THEY LAST
chen,0,mediapipe,3.2332444190979004,0.033408164978027344,0.03335094451904297,1.7697029113769531,0.8333333333333334,6,0.625,29,SLOW AND STEADY WINS THE RACE,SO I SAID FINISH THE REST
chen,0,mediapipe,7.36652135848999,0.033416748046875,0.03331804275512695,3.567595958709717,0.7272727272727273,11,0.48717948717948717,49,DO UNTO OTHERS AS YOU WOULD HAVE THEM DO UNTO YOU,YOU ARE TO LISTEN AND YOU HAVE THEM TO UNDO YOU
chen,0,mediapipe,7.89989972114563,0.03340721130371094,0.03328657150268555,3.901078224182129,1.0,11,0.7878787878787878,43,A BIRD IN THE HAND IS WORTH TWO IN THE BUSH,BUT INSIDE EACH VOICE I SUPPOSE
chen,0,mediapipe,3.833104372024536,0.033483266830444336,0.03334307670593262,1.834136962890625,0.0,4,0.0,15,NO PAIN NO GAIN,NO PAIN NO GAIN
chen,0,mediapipe,3.6333391666412354,0.033432960510253906,0.03331446647644043,1.7675485610961914,1.0,6,0.7894736842105263,24,HIT THE NAIL ON THE HEAD,LET US DARE NOT GET
chen,0,mediapipe,5.599836587905884,0.03346896171569824,0.06661677360534668,2.7347922325134277,0.5,4,0.08,28,THIS AN EXCELLENT EXPERIMENT,IT IS AN EXCELLENT EXPERIMENT
chen,0,mediapipe,5.666495323181152,0.03334665298461914,0.03334999084472656,2.800961971282959,1.2,5,0.7407407407407407,31,ACTIONS SPEAK LOUDER THAN WORDS,I JUST PLAN ON LOOKING FOR
chen,0,mediapipe,4.099973678588867,0.03334832191467285,0.033391475677490234,2.1677353382110596,1.0,6,0.9090909090909091,27,THE DEVIL IS IN THE DETAILS,IT'S NOT VERY EXCITING I THINK
chen,0,mediapipe,4.833324193954468,0.03336024284362793,0.03346657752990723,2.9360458850860596,2.6666666666666665,3,1.9166666666666667,14,LIVE AND LEARN,I DON'T KNOW I DON'T I DON'T KNOW
chen,0,mediapipe,2.8664286136627197,0.033414363861083984,0.033283233642578125,1.6010761260986328,0.8,5,0.4666666666666667,19,TODAY IS A LONG DAY,IN THE DAY IS A HOT DAY
chen,0,mediapipe,4.133278846740723,0.033460140228271484,0.03337454795837402,2.234438896179199,1.25,4,0.6842105263157895,22,BETTER LATE THAN NEVER,BETTER THAN THE SUN I THINK
chen,0,mediapipe,4.099830865859985,0.033454179763793945,0.03343987464904785,2.267350912094116,0.8571428571428571,7,0.6071428571428571,34,GOOD THINGS COME TO THOSE WHO WAIT,TO HIS KIDS COME TO JAIL SCHOOL WITH
chen,0,mediapipe,5.333207130432129,0.033348798751831055,0.03341197967529297,2.9348132610321045,1.0,8,0.7586206896551724,36,IT AINT OVER TILL THE FAT LADY SINGS,AND I KNOW THE FACT THAT THESE THINGS
chen,0,mediapipe,4.599998712539673,0.03351569175720215,0.06651544570922852,2.3676340579986572,0.7142857142857143,7,0.5,28,HES A CHIP OFF THE OLD BLOCK,IS THE CHIP ON THE ON THE BLOCK
